FlightNumber,Date,BoosterVersion,BoosterSerial,LaunchSite,Lat,Long,Payload,PayloadMassKG,Orbit,Customer,MissionOutcome,LandingOutcome,class
1,2010-06-04,F9 v1.0,B0003,CCAFS SLC-40,28.5623,-80.57735,Dragon Qualification Unit,,LEO,SpaceX,Success,Failure (parachute),0
2,2010-12-08,F9 v1.0,B0004,CCAFS SLC-40,28.5623,-80.57735,COTS Demo Flight 1 (Dragon C101),,LEO,NASA (COTS),Success,Failure (parachute),0
3,2012-05-22,F9 v1.0,B0005,CCAFS SLC-40,28.5623,-80.57735,COTS Demo Flight 2 (Dragon C102),525.0,ISS,NASA (COTS),Success,No attempt,0
4,2012-10-08,F9 v1.0,B0006,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-1 (Dragon C103),4700.0,ISS,NASA (CRS),Success,No attempt,0
5,2013-03-01,F9 v1.0,B0007,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-2 (Dragon C104),4877.0,ISS,NASA (CRS),Success,No attempt,0
6,2013-09-29,F9 v1.1,B1003,VAFB SLC-4E,34.63209,-120.61084,CASSIOPE,500.0,PO,MDA,Success,Failure (ocean),0
7,2013-12-03,F9 v1.1,B1004,CCAFS SLC-40,28.5623,-80.57735,SES-8,3170.0,GTO,SES,Success,No attempt,0
8,2014-01-06,F9 v1.1,B1005,CCAFS SLC-40,28.5623,-80.57735,Thaicom 6,3325.0,GTO,Thaicom,Success,No attempt,0
9,2014-04-18,F9 v1.1,B1006,CCAFS SLC-40,28.5623,-80.57735,SpaceX CRS-3 (Dragon C105),2296.0,ISS,NASA (CRS),Success,Controlled (ocean),0
10,2014-07-14,F9 v1.1,B1007,CCAFS SLC-40,28.5623,-80.57735,Orbcomm-OG2-1,1316.0,LEO,Orbcomm,Success,Controlled (ocean),0
11,2014-08-05,F9 v1.1,B1008,CCAFS SLC-40,28.5623,-80.57735,AsiaSat 8,4535.0,GTO,AsiaSat,Success,No attempt,0
